PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_PreventSupplierDeactivation,trg_PreventSupplierDeactivation,N/A,N/A,deleted,deleted,65,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_PreventSupplierDeactivation,trg_PreventSupplierDeactivation,N/A,N/A,PurchaseOrders,PurchaseOrders,65,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_CompleteOrderOnShipment,trg_CompleteOrderOnShipment,N/A,N/A,inserted,inserted,55,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogOrderStatusChange,trg_LogOrderStatusChange,N/A,N/A,deleted,deleted,41,SELECT - JOIN
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogOrderStatusChange,trg_LogOrderStatusChange,N/A,N/A,inserted,inserted,40,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogOrderStatusChange,trg_LogOrderStatusChange,N/A,N/A,OrderStatusLog,OrderStatusLog,38,INSERT
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_PreventOutOfStockOrders,trg_PreventOutOfStockOrders,N/A,N/A,inserted,inserted,22,SELECT - JOIN
0196bac7-895c-71d0-bec4-cde3b3063d35,SqlServ_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_UpdateInventoryOnOrder,trg_UpdateInventoryOnOrder,N/A,N/A,inserted,inserted,10,UPDATE
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure12_demo.sql,CREATE PROCEDURE,N/A,N/A,ETL_Process,ETL_Process,DataWarehouse,dbo,FactOrders,DataWarehouse.dbo.FactOrders,38,MERGE
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure12_demo.sql,CREATE PROCEDURE,N/A,N/A,ETL_Process,ETL_Process,DataWarehouse,dbo,DimCustomers,DataWarehouse.dbo.DimCustomers,30,MERGE
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure12_demo.sql,CREATE PROCEDURE,N/A,N/A,ETL_Process,ETL_Process,N/A,N/A,CurrencyRates,CurrencyRates,27,UPDATE
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure12_demo.sql,CREATE PROCEDURE,N/A,N/A,ETL_Process,ETL_Process,SourceDB,dbo,Orders,SourceDB.dbo.Orders,15,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure12_demo.sql,CREATE PROCEDURE,N/A,N/A,ETL_Process,ETL_Process,SourceDB,dbo,Customers,SourceDB.dbo.Customers,11,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure7_demo.sql,CREATE PROCEDURE,N/A,N/A,sp_CalculateSupplierPerformance(INT),sp_CalculateSupplierPerformance(INT),N/A,N/A,PurchaseOrders,PurchaseOrders,8,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure6_demo.sql,CREATE PROCEDURE,N/A,N/A,"sp_RecordSupplierDelivery(INT,INT,INT,DATE)","sp_RecordSupplierDelivery(INT,INT,INT,DATE)",N/A,N/A,SupplierDeliveries,SupplierDeliveries,9,INSERT
