SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'udfBuildISO8601Date' NODE,input_mssql_views.sql,104,4,N/A,[dbo],N/A,[vTimeSeries],[dbo].[vTimeSeries],CREATE VIEW,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'PRINT' NODE,input_mssql_procedures.sql,234,1,N/A,N/A,N/A,"spGetResult(INT,INT,INT)","spGetResult(INT,INT,INT)",CREATE PROCEDURE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,931,47,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,930,36,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,929,39,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""spUpdateEmployeeByID""",input_mssql_procedures.sql,220,0,N/A,N/A,N/A,N/A,N/A,EXECUTE,N/A
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'udfBuildISO8601Date' NODE,input_mssql_views.sql,86,4,N/A,[dbo],N/A,[vTimeSeries],[dbo].[vTimeSeries],CREATE VIEW,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,928,42,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""spUpdateEmployeeByID""",input_mssql_procedures.sql,218,0,N/A,N/A,N/A,N/A,N/A,EXECUTE,N/A
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,927,42,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,926,46,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""Employee""",input_mssql_procedures.sql,199,0,N/A,N/A,N/A,"spUpdateEmployeeByID(INT,VARCHAR,VARCHAR,DATETIME,INT)","spUpdateEmployeeByID(INT,VARCHAR,VARCHAR,DATETIME,INT)",CREATE PROCEDURE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,925,40,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Low,SSC-EWI-0040,Statement Not Supported,THE STATEMENT IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_views.sql,62,0,N/A,N/A,N/A,N/A,N/A,SET,N/A
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,924,52,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""Employee""",input_mssql_procedures.sql,187,0,N/A,N/A,N/A,"spGetEmployeesByGenderAndDepartment(VARCHAR,INT)","spGetEmployeesByGenderAndDepartment(VARCHAR,INT)",CREATE PROCEDURE,XS
0196914a-6079-7582-8542-c639925dff1a,Low,SSC-EWI-0040,Statement Not Supported,THE STATEMENT IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,924,32,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0027,SET ANSI_NULLS ON statement may have a different behavior in Snowflake,SET ANSI_NULLS ON STATEMENT MAY HAVE A DIFFERENT BEHAVIOR IN SNOWFLAKE,input_mssql_views.sql,60,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,905,41,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE FLAG IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,905,25,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECTS ""SupplierDeliveries"", ""PurchaseOrders"", ""Employee""",input_mssql_procedures.sql,4,0,N/A,N/A,N/A,"sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)","sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)",CREATE PROCEDURE,S
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,904,32,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE FLAG IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,904,16,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE NAME IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,902,12,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,896,40,N/A,[Person],N/A,[PhoneNumberType],[Person].[PhoneNumberType],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'Print' NODE,input_mssql_views.sql,6,0,N/A,N/A,N/A,N/A,N/A,PRINT,N/A
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'Print' NODE,input_mssql_views.sql,5,0,N/A,N/A,N/A,N/A,N/A,PRINT,N/A
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE NAME IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,895,9,N/A,[Person],N/A,[PhoneNumberType],[Person].[PhoneNumberType],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""[Phone]""",input_mssql_tables.sql,885,0,N/A,[Person],N/A,[PersonPhone],[Person].[PersonPhone],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,889,40,N/A,[Person],N/A,[PersonPhone],[Person].[PersonPhone],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CREATE PROCEDURE' NODE,input_mssql_procedures.sql,19,1,N/A,N/A,N/A,"sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)","sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)",CREATE PROCEDURE,S
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE PHONE IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,887,16,N/A,[Person],N/A,[PersonPhone],[Person].[PersonPhone],CREATE TABLE,XS
